Title,Authors,Cited,Institution (Laboratory/Group),Robot (type),Year,Number of microphones,Array Geometry,Type of microphone,Number of sources located in practice,Maximum distance to source in practice,Mobility of source,Mobility of capture system,Localization dimensions,Design considered noise,Design considered reverberation,Ear (external or canal),DOA estimation metholology,Tracking metholody,Capture hardware,Software framework,Evaluation metrics - unificar
Using binaural and spectral cues for azimuth and elevation localization,"Tobias Rodemann, Gokhan Ince, Frank Joublin, Christian Goerick",4650667,Honda Research Institute Europe,(robotic head),2008,2,Binaural,Omnidirectional,1,1 m,,,"Azimuth, Elevation",Yes,Yes,Yes,"Integrating Spatial Cues (ITD, IID, and Spectral Cues)",Kalman Filter,Sennheiser DPA 4060-BM omnidirectional microphones,,"Error, confusion"
Robust estimation of sound direction for robot interface,"Cheol-Taek Kim, Tae-Yong Choi, ByongSuk Choi, Ju-Jang Lee",4543742,Korea Advanced Institute of Science & Technology,,2008,3,Triangular,Omnidirectional,1,2 m,Yes,Yes,Azimuth,Yes,Yes,,ITD via GCC-PHAT (variation),Kalman Filter,,,Detection
Active audition using the parameter-less self-organising map,"Erik Berglund, Joaquin Sitte, Gordon Wyeth",Berglund2008,University of Queensland,Aibo,2008,2,Binaural,,1,5 m,Yes,Yes,"Azimuth, Distance, Elevation",Yes,Yes,Yes,Integrating Spatial Cues (ITD and IID),,,,"Pearson correlation, graph paths"
Mobile robot broadband sound localisation using a biologically inspired spiking neural network,"Jindong Liu, Harry Erwin, Stefan Wermter",4650760,University of Sunderland,(robotic head),2008,2,Binaural,Cardioid,1,,Yes,Yes,Azimuth,Yes,,,Integrating Spatial Cues (ITD and IID),,,,Confusion
Learning sound location from a single microphone,"A. Saxena, A. Y. Ng",Saxena20091704140,Stanford University,,2009,1,Single Microphone,Omnidirectional,1,,,,Azimuth,,,Yes,Hidden Markov Model,,,,
Robotic sound-source localisation architecture using cross-correlation and recurrent neural networks,"J. C. Murray, H. R. Erwin, S. Wermter",Murray2009173,University of Sunderland (Hybrid Intelligent Systems),LENA,2009,2,Binaural,Omnidirectional,1,1.5 m,Yes,Yes,Azimuth,Yes,,,ITD via Cross-correlation,Recurrent Neural Network,,,Error
2D binaural sound localization: for urban search and rescue robotics,"Kullaib, AR, Al-Mualla, M, Vernon, D",kulaib20092d,Khalifa University,iCub,2009,2,Binaural,Omnidirectional,1,3 m,,,"Azimuth, Elevation",,,Yes,ITD via Cross-correlation,,"line-in computer, 44100hz",,Detection
Evaluation of a music-based real-time sound localization of multiple sound sources in real noisy environments,"Carlos T. Ishi, Olivier Chatot, Hiroshi Ishiguro, Norihiro Hagita",5354309,"ATR Intelligent Robotics and Communication Labs., MIT, Cambridge, Osaka University",Robovie,2009,14,On Robot's Irregular Surface,Omnidirectional,5,,,,"Azimuth, Elevation",Yes,Yes,,MUSIC (variation),,"Sony ECM-C10
omni-directional electret condenser microphones were used
as sensors. Audio signals were captured at 16 kHz and 16 bits.
",,"Detection, error clases"
Intelligent sound source localization for dynamic environments,"Keisuke Nakamura, Kazuhiro Nakadai, Futoshi Asano, Yuji Hasegawa, Hiroshi Tsujino",5354419,"Honda Research Institute, Tokyo Institute of Technology, Information Technology Research Institute",ASIMO (full service robot),2009,8,Circular,,3,1 m,Yes,Yes,Azimuth,Yes,Yes,,MUSIC (variation),,,HARK,Detection
Human tracking system integrating sound and face localization using an expectation-maximization algorithm in real environments,"Hyun-Don Kim , Kazunori Komatani , Tetsuya Ogata & Hiroshi G. Okuno",Kim2009aba,Kyoto University,SIG2 (robotic torso),2009,2,Binaural,Omnidirectional,2,,Yes,Yes,Azimuth,Yes,,Yes,ITD via GCC-PHAT,Expectation-Maximization,,,"Detection, path graphs"
Biologically inspired binaural sound source localization and tracking for mobile robots,Laurent Calmes,Calmes51525,"Aachen University (Knowledge-based Systems Group, Institute for Biology II)",,2009,2,Binaural,Omnidirectional,2,1 m,,Yes,Azimuth,Yes,,Yes,ITD via Cross-correlation,,,, 
Binaural sound localization based on sparse coding and SOM,"Hong shik Kim, Jongsuk Choi",5353978,"Institute of Science and Technology, Seoul",(mobile base),2009,2,Binaural,,1,2 m,,Yes,Azimuth,Yes,,Yes,ITD via Gamatone Spike Difference,,KEMAR ear and the head,,"Correct detecion, error"
Estimation of sound source number and directions under a multi-source environment,"Jwu-Sheng Hu, Chia-Hsing Yang, Cheng-Kang Wang",Hu2010aa,National Chiao Tung University,,2009,8,Column,Omnidirectional,4,,,,Azimuth,Yes,Yes,,ITD via Cross-correlation (variation),Clustering by K-Means (variation),,,
Sound localization and separation for mobile robot tele-operation by tri-concentric microphone array,"Yoko Sasaki, Satoshi Kagami, Simon Thompson, Hiroshi Mizoguchi",sasaki2007sound,"Tokyo University of Science, Digital Human Research Center, National Institute of Advanced Industrial Science and Technology, Japan Science and Technology Agency",(tele-presence robot),2009,32,Three Circulars,Omnidirectional,5,2 m,,Yes,Azimuth,Yes,,,Beamforming,,MICROPHONES: Primo EM-100PT. DATA ACQUISITION: AD7680BRM.,,Detection
Evaluating real-time audio localization algorithms for artificial audition in robotics,"Anthony Badali, Jean-Marc Valin, Francois Michaud, Parham Aarabi",5354308,"University of Toronto, Octasic Semiconductor, Universite de Sherbrooke",,2009,8,Cubic, ,1,,,,Azimuth,,,,Beamforming (variation),,,,"Error, characterization graphs"
Azimuthal source localization using interaural coherence in a robotic dog: modeling and application,"R. Liu, Y. Wang",Liu20101897719,"Harbin Institute of Technology, Dalian University of Technology (State Key Laboratory of Robotics and System)",Aibo ERS-7,2010,2,Binaural,,1,,,,Azimuth,Yes,Yes,,ITD via Cross-correlation (variation),,,,Error
Speaker localization and tracking with a microphone array on a mobile robot using von mises distribution and particle filtering,"Ivan Markovic, Ivan Petrovic",Markovic20101185,University of Zagreb,Pioneer 3DX,2010,4,Square and Triangular,Omnidirectional,1,3 m,Yes,Yes,Azimuth,Yes,Yes,,ITD via GCC-PHAT (variation),Particle Filter (variation),"not many details, although low cost was specified",Matlab/RtAudio,"detection, error"
"Design and implementation of robot audition system 'hark' — open source software for listening to three simultaneous speakers
","Kazuhiro Nakadai , Toru Takahashi , Hiroshi G. Okuno , Hirofumi Nakajima , Yuji Hasegawa & Hiroshi Tsujino",Nakadai493561,"Honda Research Institute and Kyoto University (HARK), Tokyo Institute of Technology","ASIMO, Robovie, SIG2",2010,8,"Cubic, Circular and On Robot's Irregular Surface",,3,2 m,,,Azimuth,Yes,Yes,Yes,MUSIC,,,HARK,WER
Continuous sound source localization based on microphone array for mobile robots,"Hong Liu, Miao Shen",5650170,"Key Laboratory of Machine Perception and Intelligence, Peking University",(full service robot),2010,4,Square,,1,3 m,Yes,Yes,Azimuth,Yes,Yes,,ITD via GCC-PHAT (variation),,"MARIAN TRACE8 multi-channel audio sample card
and a crossing field of four BSWA MPA416 microphones",,Error
Estimation of sound source number and directions under a multisource reverberant environment,"Jwu-Sheng Hu, Chia-Hsin Yang",Hu:2010:ESS,National Chiao-Tung University,(robotic platform),2010,8,Column,,6,2.70 m,,,Azimuth,Yes,Yes,,ITD via Cross-correlation (variation),Clustering by K-Means (variation),Digital 8 channel card,,Error
A study on distance estimation in binaural sound localization,Tobias Rodemann,rodemann2010study,Honda Research Institute Europe,,2010,2,Binaural,,1,6 m,,Yes,Distance,,,,Integrating Spatial Cues (ITD and IID),,,,Error
The ear project,"Julien Bonnal, Sylvain Argentieri, Patrick Danes,Jerome Manhes, Philippe Soueres, Marc Renaud",MarcRenaud201028,"Universite de Toulouse, Universite Paris",,2010,8,Linear,Omnidirectional,1,0.7 m,,,Azimuth,Yes,,,MUSIC,,"EAR Sensor: BSWA MPA416, AVNET evaluation kit based on the Xilinx
Virtex-4 FPGA",,
Search and track power charge docking station based on sound source for autonomous mobile robot applications,"Ren C. Luo, Chien H. Huang, Chun Y. Huang",5649993,National Taiwan University,,2010,4,Two Binaurals,Omnidirectional,1,,,Yes,Azimuth,,,,ITD via Cross-correlation,,,,Detection
Information-theoretic detection of broadband sources in a coherent beamspace music scheme,"Patrick Danes, Julien Bonnal",5651249,LAAS - CNRS,,2010,8,Linear,,1,1.5 m,,,"Azimuth, Distance",,,,MUSIC,,Embedded Audition for Robotics,,"Characterization graphs, correct detecion"
Robotic Orientation towards Speaker for Human-Robot Interaction,"Caleb Rascon, Hector Aviles, Luis Pineda",Rascon:2010:IBERAMIA,UNAM (Golem),Golem (full service robot),2010,3,Triangular,Omnidirectional,4,1 m,,,Azimuth,Yes,Yes,,ITD via GCC-PHAT (variation),,Shure M390 and M-Audio Fast Track Ultra,JACK Audio Connection Toolkit,"Error, graph paths"
Bayesian extension of music for sound source localization and tracking,"T. Otsuka, K. Nakadai, T. Ogata, H. G. Okuno",Otsuka2011bb,Honda Research Institute and Kyoto University (HARK),Kappa,2011,8,Circular,,3,2 m,Yes,,Azimuth,,,,MUSIC (variation),Particle Filter,MEMS microphone array,,Graph paths
Improvement of speaker localization by considering multipath interference of sound wave for binaural robot audition,"Ui-Hyun Kim, Takeshi Mizumoto, Tetsuya Ogata, Hiroshi G. Okuno",6094787,Kyoto University,SIG2 (robotic torso),2011,2,Binaural,Omnidirectional,1,1.5 m,,,Azimuth,Yes,Yes,Yes,ITD via GCC-PHAT,,"Sennheiser ME 104
",,Error
Multimodal sound localization for humanoid robots based on visio-auditive learning,"Karim Youssef, Sylvain Argentieri, Jean-Luc Zarader",6181683,UPMC Univ. Paris 06 and ISIR,(robotic head),2011,2,Binaural,,1,,,,"Azimuth, Elevation",,,Yes,Integrating Spatial Cues (ITD and IID),,"A KU100 dummy head from Neumann, a National Instruments PCI acquisition card  24 bits delta-sigma converters operating  44100Hz",,Error
Acoustic models and kalman filtering strategies for active binaural sound localization,"Alban Portello, Patrick Danes, Sylvain Argentieri",6094842,CNRS; LAAS; UPMC; Univ. Paris 06 (BINAAHR),,2011,2,Binaural,Omnidirectional,1,1.48 m,Yes,Yes,"Azimuth, Distance",,,,ITD via GCC-PHAT (variation),Kalman Filter (variation),"National Instruments PCI,24 bits delta-sigma.",,Graph paths
Learning the direction of a sound source using head motions and spectral features,"Antoine Deleforge, Radu Horaud",deleforge2011learning,INRIA Grenoble Rhone-Alpes (Equipe-Projet PERCEPTION),Popeye (robotic head),2011,2,Binaural,,1,2.7 m,,,"Azimuth, Elevation",Yes,Yes,Yes,interaural differences manifold,,"Sennheiser MKE 2002 dummy-head equipped with a pair of Soundman OKM II Classic Solo microphones which are linked to a computer via a Behringer ADA8000 Ultragain Pro-8 digital external sound card
",,Error
Active soft pinnae for robots,"Makoto Kumon, Yoshitaka Noda",6094619,Kumamoto University,(robotic pinnae),2011,1,Single Microphone,,1,,,Yes,Azimuth,,,,,,,,
Sound direction estimation using an artificial ear for robots,"Sungmok Hwang, Youngjin Park, Youn-sik Park",Hwang2011208,"Marine Research Institute, Samsung Heavy Industries",,2011,2,Binaural,Omnidirectional,1,1 m,,,"Azimuth, Elevation",Yes,Yes,Yes,"ITD via GCC-PHAT, Interaural Transfer Function",,,,Error
Simultaneous localization of a mobile robot and multiple sound sources using a microphone array,"Jwu-Sheng Hu, Chen-Yu Chan, Cheng-Kang Wang, Ming-Tang Lee, Ching-Yi Kuo",5152813,"National Chiao-Tung University, Mechanical and Systems Research Laboratories, ITRI",(mobile base),2011,8,Column,Omnidirectional,7,2.4 m,,Yes,"Azimuth, Elevation",Yes,Yes,,ITD via Cross-correlation (variation),,,,Error
A neural network classifier for notch filter classification of sound-source elevation in a mobile robot," John C. Murray, Harry R. Erwin",6033298,"University of Lincoln, University of Sunderland",(robotic head),2011,1,Single Microphone,,1,,,,Elevation,,,Yes,"Trained on Spectral Cues
",,,,Characterization graph
Intelligent sound source localization and its application to multimodal human tracking,"Keisuke Nakamura, Kazuhiro Nakadai, Futoshi Asano, Gokhan Ince",6094558,Honda Research Institute Japan Co.,Hearbo,2011,8,Circular,,2,1 m,Yes,,Azimuth,Yes,,,MUSIC (variation),Particle Filter,,HARK,"Characterization path, detection, graph paths"
Listening for people: exploiting the spectral structure of speech to robustly perceive the presence of people,"Barbara Hilsenbeck, Nathan Kirchner",6094825,"University of Technology, Sydney",RobotAssist (full service robot) ,2011,2,Binaural,,3,,Yes,,Azimuth,,,,ITD via Cross-correlation,Particle Filter,,,Detection
Optimizing a reconfigurable robotic microphone array,"E. Martinson, T. Apker, M. Bugajska",6094576,U.S. Naval Research Laboratory,Pioneer 3AT,2011,4,Dynamic,Omnidirectional,1,2 m,,Yes,Azimuth,,,,ITD via GCC-PHAT,,,,Error
Real-time super-resolution sound source localization for robots,"Keisuke Nakamura, Kazuhiro Nakadai, Gokhan Ince",6385494,Honda Research Institute Japan,,2012,8,Circular,,4,,,,Azimuth,Yes,Yes,,MUSIC (variation),,,HARK,"Detections, classes error"
Natural interaction design of a humanoid robot,"Francois Ferland, Dominic Letourneau, Arnaud Aumont, Julien Fremy, Marc-Antoine Legault, Michel Lauria, Francois Michaud",ferland2012natural,"Universit ́ de Sherbrooke, University of Applied Sciences Western Switzerland",IRL-1 (tele-presence robot),2012,8,On Robot's Irregular Surface,,4,,,,"Azimuth, Elevation",,,,Beamforming (variation),Particle Filter,,ManyEars,User survey
Active binaural localization of intermittent moving sources in the presence of false meaurements,"Alban Portello, Patrick Dands, Sylvain Argentieri",portello2012active,"Univ. de Toulouse, Paris 06 (BINAAHR)",(robotic head),2012,2,Binaural,,1,,,Yes,Azimuth,,,,ITD via GCC-PHAT,Multiple Hypothesis Filter (variation),,,Graph path
A versatile system-on-a-programmable-chip for array processing and binaural robot audition,"Valentin Lunati, Jerome Manhes, Patrick Danes",6386144,CNRS; LAAS (BINAAHR),,2012,8,Linear,,3,,,,Azimuth,,,,MUSIC,,EAR sensor board,,Graph path
Unified auditory functions based on bayesian topic model,"Takuma Otsuka, Katsuhiko Ishiguro, Hiroshi Sawada, Hiroshi G. Okuno",6385787,"Kyoto University, NTT Communication Science Laboratories",(mobile base),2012,8,Circular,Omnidirectional,3,1 m,,,Azimuth,,Yes,,Masking,,,,Error
Spherical microphone array for spatial sound localization for a mobile robot,"Yoko Sasaki, Mitsutaka Kabasawa, Simon Thompson, Satoshi Kagami, Kyoichi Oro",6385877,"Digital Human Research Center, National Institute of Advanced Industrial Science and Technology, Kansai Electric Power Co. Inc.",Segway RMP200 ATV,2012,64,Spherical,Omnidirectional,2,30 m,Yes,Yes,"Azimuth, Elevation",Yes,,,Beamforming (variation),,,,Error
Speaker tracking module for indoor robot navigation,"Krittameth Teachasrisaksakul, Niracha Iemcha-od, Surapa Thiemjarus, Chantri Polprasert",6254160,"Sirindhorn International Institute of Technology (SIIT), National Electronics and Computer Technology Center, Pathumthani, Thailand","(mobile base, robotic torso)",2012,3,Triangular,Omnidirectional,1,3 m,,,Azimuth,,Yes,,ITD via GCC-PHAT (variation),,,,Detection
Integration of sound source localization and separation to improve dialogue management on a robot,"Maxime Frechette, Dominic Letourneau, Jean-Marc Valin, Francois Michaud",6385565,"Universite de Sherbrooke (IntRoLab), Mozilla inc",Spartacus (full service robot),2012,8,On Robot's Irregular Surface,,4,7 m,,,Azimuth,,,,Beamforming,Particle Filter,,ManyEars,Signal based
Outdoor auditory scene analysis using a moving microphone array embedded in a quadrocopter,"Keita Okutani, Takami Yoshida, Keisuke Nakamura, Kazuhiro Nakadai",6385994,"Tokyo Institute of Technology, Honda Research Insititute Japan Co.",(flying drone),2012,8,Square,Omnidirectional,2,1.5 m,Yes,Yes,Azimuth,Yes,,,MUSIC (variation),,"MICROPHONES: MEMS, DATA ACQUISITION: System-in-Frontier RASP-24",HARK,Detection
"Localization, tracking, and separation of sound sources for cognitive robots",Marko Durkovic,durkovic2012localization,Technische Universität München,Kemar (robotic head),2012,2,Binaural,,5,,Yes,Yes,"Azimuth, Elevation",,,,COMPaSS (masking-based),Particle Filter,,,
Multi-modal sound localization from a mobile platform,"Jani Even, Nagasrikanth Kallakuri, Yoichi Morales, Carlos Ishi, Norihiro Hagita",even36multi,"ATR Intelligent Robotics and Communication Laboratories
",(mobile base),2012,16,Circular,Omnidirectional,3,3 m,,Yes,Azimuth,Yes,Yes,,Beamforming (variation),,"16 Sony ECM-
C10 microphones, Tokio Electron Device Limited TDBD16AD-USB that samples the signals at 48kHz
",,Error
A real-time super-resolution robot audition system that improves the robustness of simultaneous speech recognition,"K. Nakamura, K. Nakadai, H. G. Okuno",Nakamura2013,Honda Research Institute and Kyoto University (HARK),Hearbo,2013,8,Circular,Omnidirectional,4,,Yes,,Azimuth,Yes,,,MUSIC (variation),,,HARK,Error
The manyears open framework,"F. Grondin, D. Letourneau, F. Ferland, V. Rousseau, F. Michaud",ManyEars,Universite de Sherbrooke (IntRoLab),"IRL-1, Pioneer 2",2013,8,Cubic and On Robot's Irregular Surface,Omnidirectional,2,1.5 m,Yes,Yes,"Azimuth, Elevation",Yes,Yes,,Beamforming (variation),Particle Filter,8SoundsUSB,ManyEars,Error
"An enhanced multimodal sound localization with humanlike auditory system for intelligent service robots
",Keun-Chang Kwak,Kwak2013aa,Chosun University,Wever,2013,3,Triangular,Omnidirectional,1,5 m,,Yes,Azimuth,,,,ITD via GCC-PHAT (variation),,In house 8 channel sound board,,Error
Nested igmm recognition and multiple hypothesis tracking of moving sound sources for mobile robot audition,"Yoko Sasaki, Naotaka Hatao, Kazuyoshi Yoshii, Satoshi Kagami",6696918,"Digital Human Research Center, National Institute of Advanced Industrial Science and Technology",(mobile base),2013,32,,,2,,Yes,,Azimuth,,,,Beamforming (variation),Multiple Hypothesis Filter,,,Error
A learning-based approach to robust binaural sound localization,"Karim Youssef, Sylvain Argentieri, Jean-Luc Zarader",6696771,Paris 06 (BINAAHR),(robotic head),2013,2,Binaural,,1,4.6 m,,,Azimuth,,Yes,Yes,Integrating Spatial Cues (ITD and IID),,"Neumann KU100 dummy head
",,Error
Posture estimation of hose-shaped robot using microphone array localization,"Yoshiaki Bando, Takeshi Mizumoto, Katsutoshi Itoyama, Kazuhiro Nakadai, Hiroshi G. Okuno",6696847,Honda Research Institute and Kyoto University (HARK),(hose-shaped robot),2013,8,Dynamic,Omnidirectional,2,,,,Azimuth,Yes,,,ITD via Cross-correlation,,DATA ACQUISITION: Systems In Frontier Corp RASP24,,Error
Noise correlation matrix estimation for improving sound source localization by multirotor uav,"Koutarou Furukawa, Keita Okutani, Kohei Nagira, Takuma Otsuka, Katsutoshi Itoyama, Kazuhiro Nakadai, Hiroshi G. Okuno",6696920,"Honda Research Institute and Kyoto University (HARK), Tokyo Institute of Technology",(flying drone),2013,8,Circular,,1,,,Yes,Azimuth,Yes,,,MUSIC (variation),,"MICROPHONES: MEMS, DATA ACQUISITION: System-in-Frontier RASP-24",HARK,Detection
SitLog: A Programming Language for Service Robot Tasks,"Luis A. Pineda, Lisset Salinas, Ivan Meza, Caleb Rascon, Gibran Fuentes",golemall,UNAM (Golem),Golem (full service robot),2013,3,Triangular,Omnidirectional,4,1 m,,,Azimuth,Yes,Yes,,ITD via GCC-PHAT (variation),,Shure M390 and M-Audio Fast Track Ultra,JACK Audio Connection Toolkit,Error
Speaker localization by humanoid robots in reverberant environments,"V. Tourbabin, B. Rafaely",7005877,Ben-Gurion University of the Negev,,2014,6,Spherical,Omnidirectional,1,,,,"Azimuth, Elevation",Yes,Yes,,Space-Domain Distance,,,,Error
Sensorimotor learning of sound localization for an autonomous robot,"Boris Garcia, Mathieu Bernard, Sylvain Argentieri, Bruno Gas",garciasensorimotor,"Sorbonne Universites, Paris",BinnoBot (robotic head),2014,2,Binaural,Omnidirectional,1,,,Yes,Azimuth,,,Yes,Trained on IID,,,,Detection
Nao key feature sound source localization,,naossl,Aldebaran,NAO,2014,4,On Robot's Irregular Surface,,1,,,,,,,,ITD via Unreported Method,,,"NaoQi module named “ALAudioSourceLocalization”
",
Multiple Direction-of-Arrival Estimation for a Mobile Robotic Platform with Small Hardware Setup,"Caleb Rascon, Luis Pineda",Rascon:2014:LMEMRP,UNAM (Golem),Golem (full service robot),2014,3,Triangular,Omnidirectional,4,1 m,Yes,Yes,Azimuth,Yes,Yes,,ITD via GCC-PHAT (variation),Clustering by Past Estimation,Shure M390 and M-Audio Fast Track Ultra,JACK Audio Connection Toolkit,Error
Challenges in deploying a microphone array to localize and separate sound sources in real auditory scenes,"Y. Bando, T. Otsuka, K. Itoyama, K. Yoshii, Y. Sasaki, S. Kagami, H. G. Okuno",7178064,Honda Research Institute and Kyoto University (HARK),Peacock,2015,8,Circular,,3,,,,Azimuth,Yes,,,Masking,Bayesian Approach,,,
Enhanced robot audition by dynamic acoustic sensing in moving humanoids,"V. Tourbabin, H. Barfuss, B. Rafaely, W. Kellermann",7179048,Ben-Gurion University of the Negev; University of Erlangen-Nurnberg,NAO,2015,7,On Robot's Irregular Surface,Omnidirectional,1,,,Yes,"Azimuth, Elevation",Yes,Yes,,Space-Domain Distance,,,,Error
Speaker localization in noisy environments using steered response voice power,"H. Lim, I.-C. Yoo, Y. Cho, D. Yook",7064118,"Korea University, LG Electronics (Speech Information Processing Laboratory)",R2D2-shaped robot,2015,8,Circular,Omnidirectional,1,2 m,,,Azimuth,Yes,,,Beamforming (variation),,,,"Detection, signal based"
Subspace-based doa with linear phase approximation and frequency bin selection preprocessing for interactive robots in noisy environments,"S.-C. Lee, B.-W. Chen, J.-F. Wang, M.-J. Liao, W. Ji",Lee2015,National Cheng Kung University,Robotinno,2015,2,Binaural,Omnidirectional,1,3 m,,,Azimuth,Yes,,,MUSIC (variation),,,,Error
Audio source localization by optimal control of a mobile robot,"Vincent, Emmanuel, Sini, Aghilas, Charpillet, Francois",Vincent2015,"INRIA, CNRS and Université of Lorraine",Turtle-bot,2015,4,Linear,,1,2.4 m,,Yes,Azimuth,,,,MUSIC,,,HARK,Error
Self-localization method for mobile robot using acoustic beacons,"S. Ogiso, T. Kawagishi, K. Mizutani, N. Wakatsuki, K. Zempo",Ogiso2015aa,University of Tsukuba,Roomba-like,2015,4,Square,Omnidirectional,1,5 m,,Yes,Azimuth,,,,ITD via Cross-correlation (variation),,,,Error
Improved sound source localization in horizontal plane for binaural robot audition,Ui-Hyun Kim · Kazuhiro Nakadai · Hiroshi G. Okuno,Kim2015aa,Honda Research Institute and Kyoto University (HARK),"SIG2, Kemar, ke01",2015,2,Binaural,Omnidirectional,1,2.5 m,,,Azimuth,Yes,Yes,Yes,ITD via GCC-PHAT (variation),,"Two Sennheiser ME 104, Cakewalk UA-101
",,Error
Toward a quizmaster robot for speech-based multiparty interaction,"Izaya Nishimuta, Katsutoshi Itoyama, Kazuyoshi Yoshii, Hiroshi G. Okuno",Nishimuta1079504,"Kyoto University, Waseda University",HRP-2,2015,8,Circular,Omnidirectional,4,1.5 m,,,Azimuth,Yes,Yes,,MUSIC,,,HARK,
Bearing-only acoustic tracking of moving speakers for robot audition,"Christine Evers, Alastair H. Moore, Patrick A. Naylor, Jonathan Sheaffer, Boaz Rafaely",7252071,"Imperial College London, Ben-Gurion University of the Negev ",NAO,2015,4,On Robot's Irregular Surface,,1,,Yes,,"Azimuth, Elevation",Yes,Yes,,NA,Probability Hypothesis Density Filter,,,Graph path
Time difference of arrival estimation based on binary frequency mask for sound source localization on mobile robots,"F. Grondin, F. Michaud",Grondin2015ab,Universite de Sherbrooke (IntRoLab),,2015,2,Binaural,Omnidirectional,1,2 m,,,Azimuth,Yes,Yes,,ITD via GCC-PHAT (variation),,,,"Performance, detection"
A multi-modal approach for assistive humanoid robots,"German I. Parisi, Johannes Bauer, Erik Strahl, Stefan Wermter",Parisi2015ab,University of Hamburg,NAO,2015,2,Binaural,Omnidirectional,1,,,,Azimuth,,,,ITD via Cross-correlation,,,,
Ava (a social robot): design and performance of a robotic hearing apparatus,"Ehsan Saffari, Ali Meghdari, Bahram Vazirnezhad, Minoo Alemi",saffari2015ava,"Sharif University of Technology (CEDRA), Islamic Azad University",AVA (robotic head),2015,2,Binaural,Cardioid,2,,,,Azimuth,,,,Integrating Spatial Cues (ITD and IID),Perceptron Neural Network,"M-Track model of M-AUDIO Co.;Two condenser microphones, QL5 model of SAMSON Co",,"Graph paths, error"
A sensor fusion framework for finding an hri partner in crowd,"Shokoofeh Pourmehr, Jake Bruce, Jens Wawerla, Richard Vaughan",Pourmehr2015ab,Simon Fraser University Autonomy Lab,(mobile base),2015,4,Linear,Omnidirectional,1,3 m,Yes,Yes,Azimuth,Yes,,,MUSIC,Kalman Filter,Kinect,,Detection
Selection of the closest sound source for robot auditory attention in multi-source scenarios,"Quang Nguyen, JongSuk Choi",Nguyen2015ART,Korea Institute of Science and Technology,(mobile base),2015,6,Pyramidal with Binaural,Omnidirectional,3,3 m,,Yes,"Azimuth, Elevation, Distance",Yes,,,ITD via Phase Difference (variation),,"6 mono omnidirectional ETM-002 produced by Edutege
Co. 8-channel Octopus board developed by Diotek Co.",HARK,Error
Acoustic space learning for sound-source separation and localization on binaural manifolds,"Antoine Deleforge, Florence Forbes, Radu Horaud",deleforge2015acoustic,INRIA Grenoble Rhône-Alpes,Popeye (robotic head),2015,2,Binaural,,3,2.7 m,,,Azimuth,Yes,Yes,Yes,Integrating Spatial Cues (ITD and IID),,Sennheiser MKE 2002 acoustic dummy-head linked to a computer via a Behringer ADA8000 Ultragain Pro-8 digital external sound card,,"Error, signal based"
Consensus-based sound source localization using a swarm of micro-quadrocopters,"Sinapayen Lana, Keisuke Nakamura, Kazuhiro Nakadai, Hideyuki Takahashi, Tetsuo Kinoshita",lanaconsensus,"Tohoku University, Honda Research Institute Japan",(multiple flying drones),2015,3,Dynamic,,1,,,,Distance,,,,Integrating Spatial Cues (IID),Kalman Filter (variation),,,Graph paths
Visual representation of interaction force and sound source in a teleoperation user interface for a mobile robot,"Aurelien Reveleau, Francois Ferland, Mathieu Labbe, Dominic Letourneau, Francois Michaud",reveleau15visual,Universite de Sherbrooke (IntRoLab),IRL-1/TR,2015,8,On Robot's Irregular Surface,Omnidirectional,4,1 m,Yes,Yes,"Azimuth, Elevation",Yes,Yes,,Beamforming,Particle Filter,,ManyEars,User survey
Sound localization used in robotics,"Suraj Ahmed. M. Z, Rohan Lobo, Somaiah. C. R",surajlocal2015,"Institute Of Technology, Kodagu, Karnataka",,2015,4,Two Binaurals,Omnidirectional,1,,,,"Azimuth, Elevation",,,Yes,HRTF,,,,Error
Sound localization by robot using inter-aural time differences,"Nadimpalli Mahadev, Kevin B. Austin",mahadev2015sound,Fitchburg State University,VeX Robotics,2015,3,Triangular,Omnidirectional,1,1.8 m,,,Azimuth,,,,ITD via Cross-correlation (variation),,"MICROPHONES: CMA-6542PF, CUI Inc. DATA ACQUISITION: USB-1608FS, Measurement Computing, Inc.",,Error
Utilizing visual cues in robot audition for sound source discrimination in speech-based human-robot communication,"Randy Gomez, Levko Ivanchuk, Keisuke Nakamura, Takeshi Mizumoto, Kazuhiro Nakadai",7353974,Honda Research Institute Japan Co.,HearBo,2015,16,Circular,Omnidirectional,4,,,,Azimuth,Yes,Yes,,MUSIC,,,HARK,Understanding
An open platform of auditory perception for home service robots,"Ha Manh Do, Weihua Sheng, Meiqin Liu",do2015open,Oklahoma State University,,2015,4,Square,,4,,Yes,Yes,Azimuth,,,,MUSIC (variation),,NI G.R.A.S IEPE microphones and an NI USB-9234 Data Acquisition (DAQ),HARK,Signal based
Binaural bearing only tracking of stationary sound sources in reverberant environment,"Ingo Kossyk, Michael Neumann, Zoltan-Csaba Marton",kossyk2015binaural,"Institute of Robotics and Mechatronics at German Aerospace Center, TU Ilmenau",KU 100 (robotic head),2015,2,Binaural,,1,,,Yes,Azimuth,,Yes,Yes,ITD via GCC-PHAT (variation),Particle Filter,,,Error
